manufacturer,phonename,releasedate,os,batsize,battype,scrsize,scrtype,nettech,chipset,cpu,gpu,internal,maincammodule,maincamvid,selfcammodule,selfcamvid,price
Meizu,Meizu Note 21,"2024, October",Flyme OS,6000,18W,720x1600 pixels*,"IPS LCD, 90Hz, 450 nits",GSM / HSPA / LTE,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,256GB 8GB RAM,"50 MP, AF
2 MP",Yes,8 MP,Yes,Na
Meizu,Meizu Blue 20,"2024, July",Flyme AIOS,5010,,1080x2400,"IPS LCD, 90Hz",GSM / HSPA / LTE / 5G,Unisoc T765 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,"128GB 6GB RAM, 256GB 8GB RAM","13 MP, AF (interpolated to 50 MP)
Secondary unspecified camera","4K@30fps, 1080p@30fps",5 MP (interpolated to 8 MP),1080p@30fps,Na
Meizu,Meizu 21 Note,"2024, May 21",Flyme OS,5500,65W,1264x2780,"LTPO OLED, 1B colors, 144Hz, HDR10+, 800 nits (typ), 1600 nits (HBM), 5000 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,"256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.7, 24mm (wide), 1/1.56"", PDAF, OIS
13 MP, f/2.4, 16mm, 122˚ (ultrawide), AF","8K, 4K, 1080p; gyro-EIS","16 MP, f/2.5, (wide)",Yes,330 EUR
Meizu,Meizu 21 Pro,"2024, March 02",Flyme OS / Flyme AIOS 2,5050,80W50W,1368x3192,"LTPO AMOLED, 1B colors, 120Hz, HDR10+, 600 nits (typ), 1250 nits (HBM)",GSM / HSPA / LTE / 5G,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.3"", 1.2µm, PDAF, OIS
10 MP, f/2.0, 72mm (periscope telephoto), PDAF, OIS, 3x optical zoom
13 MP, f/2.4, 15mm, 122˚ (ultrawide)","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",Yes,640 EUR
Meizu,Meizu 21,"2023, November 30","Android 13, Flyme 10.5",4800,80W,1080x2340,"AMOLED, 120Hz, HDR10+, 600 nits (typ), 1100 nits (HBM), 1800 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","200 MP, f/1.7, 22mm (wide), 1/1.4"", PDAF, OIS
13 MP, f/2.4, 15mm, 122˚ (ultrawide), 1/3.1""
5 MP, f/2.4, 27mm (wide), 1/5.0""","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, (wide), 1/3.1""","4K@30/60fps, 1080p@30/60fps, gyro-EIS",440 EUR
Meizu,Meizu 20 Classic,"2023, October 31","Android 13, Flyme 10",4700,67W,1080x2400,"OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)",GSM / HSPA / LTE / 5G,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,"256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS
16 MP, f/2.4, 16mm, 122˚ (ultrawide)
5 MP, f/2.4","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",Yes,400 EUR
Meizu,Meizu 20 Infinity,"2023, June 12","Android 13, Flyme 10",4800,65W50W,1368x3192,"LTPO OLED, 1B colors, 120Hz, 600 nits (typ), 1800 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.56"", PDAF, OIS
12 MP f/2.0, 50mm (telephoto), 1/2.9"", PDAF, OIS, optical zoom
12 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.55""","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",Yes,820 EUR
Meizu,Meizu 20 Pro,"2023, June 20","Android 13, Flyme 10",5000,80W50W,1440x3200,"LTPO OLED, 120Hz, HDR10+, 500 nits (typ), 1800 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, (wide), PDAF, OIS
50 MP f/1.9, (telephoto), PDAF, 2x optical zoom
50 MP, f/2.2, 129˚ (ultrawide)","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",Yes,530 EUR
Meizu,Meizu 20,"2023, May 22","Android 13, Flyme 10",4700,67W,1080x2400,"OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)",GSM / HSPA / LTE / 5G,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS
16 MP, f/2.4, 16mm, 122˚ (ultrawide)
5 MP, f/2.4","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",Yes,400 EUR
Meizu,Meizu 18s Pro,"2021, September 23","Android 11, Flyme 9.2",4500,40W40W,1440x3200,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom
32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm
0.3 MP, TOF 3D, f/1.4, (depth)","8K, 4K@30/60fps, 1080p; gyro-EIS, HDR","44 MP, f/2.4, (wide), 1/2.65”, 0.7µm","4K@30fps, 1080p@30fps",610 EUR
